"","time","t_ppi","ppi","t_ppi_pcy","ppi_pcy"
"1",2010-12-01,111.793926966466,108.374943126238,NA,NA
"2",2011-01-01,111.665066331053,108.495564437937,NA,NA
"3",2011-02-01,111.800393409707,108.393691991399,NA,NA
"4",2011-03-01,111.690815071507,108.582589517268,NA,NA
"5",2011-04-01,112.026209966166,108.727378441284,NA,NA
"6",2011-05-01,110.979141453513,108.253021315221,NA,NA
"7",2011-06-01,110.262183968435,108.08970027593,NA,NA
"8",2011-07-01,109.877419920652,107.60439728061,NA,NA
"9",2011-08-01,109.519110776478,106.734688362022,NA,NA
"10",2011-09-01,109.364375222291,106.671289020293,NA,NA
"11",2011-10-01,108.886161459202,106.552943582399,NA,NA
"12",2011-11-01,108.859128418535,105.710328399593,NA,NA
"13",2011-12-01,109.443745945669,105.971295262641,-2.147387226643,-2.26820655314214
"14",2012-01-01,110.099414205273,105.968694264006,-1.42203492823328,-2.38454403112301
"15",2012-02-01,109.827607316402,106.794077830855,-1.79625700815064,-1.49784912518913
"16",2012-03-01,110.496347691265,106.946127876061,-1.0810016848521,-1.53017381153122
"17",2012-04-01,110.505262474251,106.811092696926,-1.37635752167886,-1.79408869994012
"18",2012-05-01,109.934244284056,106.911664644147,-0.950474691723192,-1.25464015132318
"19",2012-06-01,109.004286375713,106.770560468197,-1.15398910863583,-1.23549019687452
"20",2012-07-01,110.150032696031,106.69404775835,0.247492232827008,-0.853233653973129
"21",2012-08-01,110.969523273074,107.001724221885,1.30703679155831,0.249562202670025
"22",2012-09-01,110.987239315007,107.118769160462,1.46220782022486,0.417742048079289
"23",2012-10-01,110.71526437069,107.100128670244,1.65207834880274,0.510909832358022
"24",2012-11-01,109.80701411742,107.24665159335,0.863228734980106,1.43251390223616
"25",2012-12-01,110.103443458959,107.384721270893,0.599161563494026,1.31622636025364
"26",2013-01-01,110.326365482138,107.28339069907,0.205709012413584,1.22544265845597
"27",2013-02-01,110.429214650844,107.263774834364,0.544790014439467,0.437889682918965
"28",2013-03-01,110.291598316561,107.252395465336,-0.18564367352409,0.285557807772917
"29",2013-04-01,110.423752577059,107.507618456398,-0.0738155471898732,0.647885023845831
"30",2013-05-01,110.019282159371,107.213597235697,0.0772936103980757,0.281617816521863
"31",2013-06-01,110.204795122145,107.285558197933,1.08934347648084,0.480025213445541
"32",2013-07-01,110.241649490968,107.24144959608,0.0831054282656616,0.510438678134615
"33",2013-08-01,110.198458079255,107.283173949184,-0.699705973440042,0.26234284178817
"34",2013-09-01,110.417338131649,107.397834639012,-0.516133782067659,0.259842742163335
"35",2013-10-01,110.01266872129,107.136976150907,-0.638649764219665,0.034392869751161
"36",2013-11-01,109.933961615085,107.075527558154,0.11547614204028,-0.159816196192345
"37",2013-12-01,110.106080208194,107.119094285291,0.00239473535907434,-0.247973517116358
"38",2014-01-01,109.867535336918,107.122779033357,-0.41762122342487,-0.149932318002217
"39",2014-02-01,109.519782708843,106.822580440898,-0.830381433844297,-0.413016041782494
"40",2014-03-01,109.573060835492,106.842846555262,-0.655761074474591,-0.383318980426285
"41",2014-04-01,109.671367782014,106.630106541905,-0.686035754145404,-0.822949486736464
"42",2014-05-01,109.79340831077,106.668362896829,-0.205726238101787,-0.511149064315804
"43",2014-06-01,109.742921282425,106.699791630336,-0.420868912840299,-0.548985671524748
"44",2014-07-01,109.378523171236,106.570933822958,-0.78911864478219,-0.629173217376436
"45",2014-08-01,108.780543788134,106.345188816426,-1.30346313940384,-0.882019340223039
"46",2014-09-01,108.419265375368,106.308666460593,-1.84291301860768,-1.02453376068116
"47",2014-10-01,108.571875635019,106.295986592247,-1.32704079932689,-0.791177151293255
"48",2014-11-01,108.21507047147,105.553293107003,-1.58840273921753,-1.44214775905474
"49",2014-12-01,107.556658080808,105.312917483149,-2.37030619291881,-1.71505722688851
"50",2015-01-01,106.854579864638,105.216030283994,-2.81967836670743,-1.81222266627661
"51",2015-02-01,105.570844924804,104.48579991721,-3.74055714610634,-2.23645751436035
"52",2015-03-01,104.926240307759,104.605012354648,-4.4286543710166,-2.13931832733467
"53",2015-04-01,104.274609393349,102.90710212069,-5.17552491451387,-3.61783039702088
"54",2015-05-01,103.784345363381,102.087787550655,-5.78995119769629,-4.48689843915042
"55",2015-06-01,103.649365781108,102.058851440841,-5.87900896006002,-4.54731767404324
"56",2015-07-01,103.553157422158,101.81511619375,-5.62548346578178,-4.67103295365156
"57",2015-08-01,103.347861242593,101.24799011637,-5.25669566861022,-5.03437025682963
"58",2015-09-01,103.58140945652,101.20778301247,-4.67058321008749,-5.04001105082414
"59",2015-10-01,103.59327660544,101.479695744774,-4.80590941103374,-4.74606354712209
"60",2015-11-01,103.728285791372,101.773825340419,-4.32551704278822,-3.71359507608428
"61",2015-12-01,102.671604802461,101.514700851404,-4.75793992676543,-3.74154344138298
"62",2016-01-01,102.261792029246,101.367301505768,-4.49120609394286,-3.79681487131989
"63",2016-02-01,101.788884574096,100.86084466322,-3.71549444375154,-3.59401635599387
"64",2016-03-01,102.153122272134,100.945000350226,-2.71466791610831,-3.62574866682296
