id,time,value
t_ppi_PPI,2010-12-01,111.1220205262859
t_ppi_PPI,2011-01-01,111.02230819268472
t_ppi_PPI,2011-02-01,111.09726525757027
t_ppi_PPI,2011-03-01,111.25373847638511
t_ppi_PPI,2011-04-01,111.30210602833286
t_ppi_PPI,2011-05-01,110.76255314781584
t_ppi_PPI,2011-06-01,110.06021781721753
t_ppi_PPI,2011-07-01,109.25678887793993
t_ppi_PPI,2011-08-01,108.44507359948228
t_ppi_PPI,2011-09-01,108.39549389712927
t_ppi_PPI,2011-10-01,108.23736522898871
t_ppi_PPI,2011-11-01,108.51361412222197
t_ppi_PPI,2011-12-01,109.18981985811836
t_ppi_PPI,2012-01-01,109.43474550437357
t_ppi_PPI,2012-02-01,109.43510383559531
t_ppi_PPI,2012-03-01,109.72348682141194
t_ppi_PPI,2012-04-01,109.77732530747478
t_ppi_PPI,2012-05-01,109.69846347570974
t_ppi_PPI,2012-06-01,109.3550344538275
t_ppi_PPI,2012-07-01,109.46873552605524
t_ppi_PPI,2012-08-01,109.84004110902735
t_ppi_PPI,2012-09-01,110.11041364260524
t_ppi_PPI,2012-10-01,110.09824464273936
t_ppi_PPI,2012-11-01,109.81092375347325
t_ppi_PPI,2012-12-01,109.78231982003071
t_ppi_PPI,2013-01-01,109.74574561866173
t_ppi_PPI,2013-02-01,109.9614575083145
t_ppi_PPI,2013-03-01,109.94370520493109
t_ppi_PPI,2013-04-01,109.87796946885153
t_ppi_PPI,2013-05-01,109.58051411312188
t_ppi_PPI,2013-06-01,109.48841576184066
t_ppi_PPI,2013-07-01,109.51826833950383
t_ppi_PPI,2013-08-01,109.65895386261504
t_ppi_PPI,2013-09-01,109.81504280234361
t_ppi_PPI,2013-10-01,109.41005001379824
t_ppi_PPI,2013-11-01,109.41002689047097
t_ppi_PPI,2013-12-01,109.40175095833436
t_ppi_PPI,2014-01-01,109.29086763397324
t_ppi_PPI,2014-02-01,109.1374248501378
t_ppi_PPI,2014-03-01,109.10991633109158
t_ppi_PPI,2014-04-01,109.05456887633605
t_ppi_PPI,2014-05-01,108.94285048345752
t_ppi_PPI,2014-06-01,108.93413110726114
t_ppi_PPI,2014-07-01,108.79130043773064
t_ppi_PPI,2014-08-01,108.47755881097459
t_ppi_PPI,2014-09-01,108.33523576501426
t_ppi_PPI,2014-10-01,108.05983603278703
t_ppi_PPI,2014-11-01,107.71010892540505
t_ppi_PPI,2014-12-01,107.16779642878552
t_ppi_PPI,2015-01-01,106.44010000276508
t_ppi_PPI,2015-02-01,105.16994936702478
t_ppi_PPI,2015-03-01,104.61188265058777
t_ppi_PPI,2015-04-01,103.64142247489731
t_ppi_PPI,2015-05-01,103.46185630492374
t_ppi_PPI,2015-06-01,103.23894180254806
t_ppi_PPI,2015-07-01,102.96024281055708
t_ppi_PPI,2015-08-01,102.80780487239288
t_ppi_PPI,2015-09-01,102.95567696489456
t_ppi_PPI,2015-10-01,102.95563659934672
t_ppi_PPI,2015-11-01,103.05448850220652
t_ppi_PPI,2015-12-01,102.17662279257743
t_ppi_PPI,2016-01-01,101.8418763385906
t_ppi_PPI,2016-02-01,101.64986387529258
t_ppi_PPI,2016-03-01,101.73354141935422
t_ppi_PPI,2016-04-01,101.95778949194941
t_ppi_PPI,2016-05-01,102.49394068117535
t_ppi_PPI,2016-06-01,102.29175073304118
t_ppi_PPI,2016-07-01,102.16538903369121
t_ppi_PPI,2016-08-01,101.83100631358171
t_ppi_PPI,2016-09-01,101.90815931980697
t_ppi_PPI,2016-10-01,101.87139076792734
t_ppi_PPI,2016-11-01,102.01376544351326
t_ppi_PPI,2016-12-01,102.1299481637664
t_ppi_PPI,2017-01-01,102.27398842955971
t_ppi_PPI,2017-02-01,101.87648899614845
t_ppi_PPI,2017-03-01,101.80332928930876
t_ppi_PPI,2017-04-01,101.58285774191398
t_ppi_PPI,2017-05-01,101.40520144208949
t_ppi_PPI,2017-06-01,101.16184135209375
t_ppi_PPI,2017-07-01,101.22232791980555
t_ppi_PPI,2017-08-01,101.60351409749742
t_ppi_PPI,2017-09-01,102.07451118603775
t_ppi_PPI,2017-10-01,102.16775098321791
t_ppi_PPI,2017-11-01,102.72169257451053
t_ppi_PPI,2017-12-01,103.13516521272004
t_ppi_PPI,2018-01-01,103.545130962081
t_ppi_PPI,2018-02-01,103.06904937007565
t_ppi_PPI,2018-03-01,102.98376313805008
t_ppi_PPI,2018-04-01,102.94147116410609
t_ppi_PPI,2018-05-01,103.41008212608278
t_ppi_PPI,2018-06-01,103.61434942111967
t_ppi_PPI,2018-07-01,103.73887747330265
t_ppi_PPI,2018-08-01,103.4058396960042
t_ppi_PPI,2018-09-01,102.98886849935121
t_ppi_PPI,2018-10-01,102.94385325228437
t_ppi_PPI,2018-11-01,102.92486107297137
t_ppi_PPI,2018-12-01,102.7132060964843
t_ppi_PPI,2019-01-01,102.27549271023427
t_ppi_PPI,2019-02-01,102.41892926349585
t_ppi_PPI,2019-03-01,102.60688792063078
t_ppi_PPI,2019-04-01,102.60216089780639
t_ppi_PPI,2019-05-01,102.70404251978789
t_ppi_PPI,2019-06-01,102.37958218158053
t_ppi_PPI,2019-07-01,102.35871068801801
t_ppi_PPI,2019-08-01,102.0551686238135
t_ppi_PPI,2019-09-01,101.77223772607523
